sl.no,word,mood,score
570,blindside,negative,-1
571,bliss,positive,1
572,blissful,positive,1
573,blissfully,positive,1
574,blister,negative,-1
575,blistering,negative,-1
576,blithe,positive,1
577,bloated,negative,-1
578,blockage,negative,-1
579,blockbuster,positive,1
580,blockhead,negative,-1
581,bloodshed,negative,-1
582,bloodthirsty,negative,-1
583,bloody,negative,-1
584,bloom,positive,1
585,blossom,positive,1
586,blotchy,negative,-1
587,blow,negative,-1
588,blunder,negative,-1
589,blundering,negative,-1
590,blunders,negative,-1
591,blunt,negative,-1
592,blur,negative,-1
593,bluring,negative,-1
594,blurred,negative,-1
595,blurring,negative,-1
596,blurry,negative,-1
597,blurs,negative,-1
598,blurt,negative,-1
599,boastful,negative,-1
600,boggle,negative,-1
601,bogus,negative,-1
602,boil,negative,-1
603,boiling,negative,-1
604,boisterous,negative,-1
605,bolster,positive,1
606,bomb,negative,-1
607,bombard,negative,-1
608,bombardment,negative,-1
609,bombastic,negative,-1
610,bondage,negative,-1
611,bonkers,negative,-1
612,bonny,positive,1
613,bonus,positive,1
614,bonuses,positive,1
615,boom,positive,1
616,booming,positive,1
617,boost,positive,1
618,bore,negative,-1
619,bored,negative,-1
620,boredom,negative,-1
621,bores,negative,-1
622,boring,negative,-1
623,botch,negative,-1
624,bother,negative,-1
625,bothered,negative,-1
626,bothering,negative,-1
627,bothers,negative,-1
628,bothersome,negative,-1
629,boundless,positive,1
630,bountiful,positive,1
631,bowdlerize,negative,-1
632,boycott,negative,-1
633,braggart,negative,-1
634,bragger,negative,-1
635,brainiest,positive,1
636,brainless,negative,-1
637,brainwash,negative,-1
638,brainy,positive,1
639,brand-new,positive,1
640,brash,negative,-1
641,brashly,negative,-1
642,brashness,negative,-1
643,brat,negative,-1
644,bravado,negative,-1
645,brave,positive,1
646,bravery,positive,1
647,bravo,positive,1
648,brazen,negative,-1
649,brazenly,negative,-1
650,brazenness,negative,-1
651,breach,negative,-1
652,break,negative,-1
653,breakdown,negative,-1
654,breaking,negative,-1
655,breaks,negative,-1
656,breakthrough,positive,1
657,breakthroughs,positive,1
658,breakup,negative,-1
659,break-up,negative,-1
660,breakups,negative,-1
661,break-ups,negative,-1
662,breathlessness,positive,1
663,breathtaking,positive,1
664,breathtakingly,positive,1
665,breeze,positive,1
666,bribery,negative,-1
667,bright,positive,1
668,brighten,positive,1
669,brighter,positive,1
670,brightest,positive,1
671,brilliance,positive,1
672,brilliances,positive,1
673,brilliant,positive,1
674,brilliantly,positive,1
675,brimstone,negative,-1
676,brisk,positive,1
677,bristle,negative,-1
678,brittle,negative,-1
679,broke,negative,-1
680,broken,negative,-1
681,broken-hearted,negative,-1
682,brood,negative,-1
683,brotherly,positive,1
684,browbeat,negative,-1
685,bruise,negative,-1
686,bruised,negative,-1
687,bruises,negative,-1
688,bruising,negative,-1
689,brusque,negative,-1
690,brutal,negative,-1
691,brutalising,negative,-1
692,brutalities,negative,-1
693,brutality,negative,-1
694,brutalize,negative,-1
695,brutalizing,negative,-1
696,brutally,negative,-1
697,brute,negative,-1
698,brutish,negative,-1
699,bs,negative,-1
700,buckle,negative,-1
701,bug,negative,-1
702,bugging,negative,-1
703,buggy,negative,-1
704,bugs,negative,-1
705,bulkier,negative,-1
706,bulkiness,negative,-1
707,bulky,negative,-1
708,bulkyness,negative,-1
709,bull----,negative,-1
710,bull****,negative,-1
711,bullies,negative,-1
712,bullish,positive,1
713,bullshit,negative,-1
714,bullshyt,negative,-1
715,bully,negative,-1
716,bullying,negative,-1
717,bullyingly,negative,-1
718,bum,negative,-1
719,bump,negative,-1
720,bumped,negative,-1
721,bumping,negative,-1
722,bumpping,negative,-1
723,bumps,negative,-1
724,bumpy,negative,-1
725,bungle,negative,-1
726,bungler,negative,-1
727,bungling,negative,-1
728,bunk,negative,-1
729,buoyant,positive,1
730,burden,negative,-1
731,burdensome,negative,-1
732,burdensomely,negative,-1
733,burn,negative,-1
734,burned,negative,-1
735,burning,negative,-1
736,burns,negative,-1
737,bust,negative,-1
738,busts,negative,-1
739,busybody,negative,-1
740,butcher,negative,-1
741,butchery,negative,-1
742,buzzing,negative,-1
743,byzantine,negative,-1
744,cackle,negative,-1
745,cajole,positive,1
746,calamities,negative,-1
747,calamitous,negative,-1
748,calamitously,negative,-1
749,calamity,negative,-1
750,callous,negative,-1
751,calm,positive,1
752,calming,positive,1
753,calmness,positive,1
754,calumniate,negative,-1
755,calumniation,negative,-1
756,calumnies,negative,-1
757,calumnious,negative,-1
758,calumniously,negative,-1
759,calumny,negative,-1
760,cancer,negative,-1
